,DATA_MONTH,USER_ID,SHOP_NAME
171611,202106,2400758027,仙蒂奈儿旗舰店
173251,202106,1760970746,科盾办公用品旗舰店
215827,202109,2311422656, 艾特伦电器直销店
168956,202106,4062597771,oannes旗舰店
200696,202109,650904484,绿中缘家居旗舰店
253519,202109,419107180,小布叮官方母婴店
151838,202107,2530661150,小树包装商城
196686,202109,433686680, 品质男装工厂直销店
18057,202107,2057702996,奥奥汽车装饰
446160,202106,2672324717,山与海纸箱官方企业店 福建福州纸箱邮政快递飞机盒搬家箱
158363,202108,2207375639039,格兰森旗舰店
160802,202108,1032427416,芊茗草旗舰店
24046,202107,773838565,摩之友车品
165892,202107,612542252,淘客岛母婴旗舰店
169726,202106,4096443055,席师傅旗舰店
315597,202109,4213041313, 深圳市利胜电子
540856,202108,648100389, 佳展康直销店
158114,202108,762414337,德立旗舰店
296089,202109,415852867, 格尼手表直销店
223919,202109,3163303643, 阿汐茶烟戒烟馆
318254,202109,3877966886, 巧云生活馆
444198,202106,3596103037,常老板宇宙代购
562945,202108,915489049, 美的家用电器直销
321180,202109,202604311,飞博士白板官方店
176965,202109,2208577855696, 唯一配数码店
249089,202109,25130821, 囍旧珠宝TouchPast Je
447953,202106,2206465531209,只会卖鞋的鞋店
295722,202109,2396017651,顶派旗舰店
496390,202106,390247324,Chic Simple office
151209,202107,1825179412,台北名品商城
181021,202109,193275893, 深圳市佳力电子
407966,202106,48337336,圆美专业定制
212966,202109,116525828,素糖官方店铺
161836,202108,3327483873,至冠旗舰店
647895,202108,2207593614878,诚品国际集运
239896,202109,2201494416168,君璇包装
170449,202106,2044237984,purion旗舰店
166708,202107,2513384981,meiroo旗舰店
261054,202109,117419283,爱哆哆喜饼官方企业店
166768,202106,1850392050,千型旗舰店
417435,202106,191758622,河南斯沃德汽车用品有限公司
235398,202109,53963456,草原明珠 游牧部落 官方购物商城
188691,202109,1996622679, 正大包装实业
262267,202109,1793489701, 得力办公直销店
155981,202108,2816081886,跨界家居旗舰店
472823,202106,731769561,西瓜点卡充值城
575853,202108,2257305358, 花花公子男鞋中国直销
164598,202107,1850392050,千型旗舰店
47519,202107,4192155736,高端电器联保直销商城
342022,202106,734252936,汽车线束 胶带之家
25478,202107,1136186569,环球集运 香港台湾美国日本加拿大等国际快递
485391,202106,2200549795683,爱多园艺店
270117,202109,2062125009, 电商扶贫产地直销
91261,202107,1747029480,陈字号店铺
600704,202108,1825179412, 台北名品商城
491662,202106,11087463,红星包装用品店
219742,202109,2706182418, 炒锅厂家直销
236490,202109,2816081886,跨界家居旗舰店
159526,202107,2200805933721,王小卤旗舰店
413649,202106,2730619949,适度包装有限公司
161336,202108,911757567,天士力大药房旗舰店
478233,202106,1748625902,润峰车品官方企业店
275968,202109,59832154, 展途喷剂厂家直销
198453,202109,2200562984211, 武夷农产
121741,202107,414817132,伟国缝纫设备
